,Protein_ID,Pfam_Families
179,P03437,PF00509
180,P82980,PF00061
181,A2FEV4,PF01053
182,P05089,PF00491
183,Q8N697,PF00854
184,P00533,PF00757
185,P35961,PF00516
186,O15075,PF03607
187,P59768,PF00631
188,P23202,PF00043
189,Q9QUQ5,PF00023
190,P21963,PF00059
191,P30291,PF00069
192,Q61194,PF00168
193,Q9UNQ0,PF01061
194,P02760,PF00014
195,Q99683,PF19039
196,P29317,PF14575
197,Q62765,PF00135
198,B6K8Y1,PF01053
199,P10587,PF00063
200,P0C794,PF16520
201,A0A287AGU7,PF00091
202,P39900,PF00045
203,P48547,PF02214
204,Q9Y5Z0,PF00026
205,P25774,PF08246
206,P48730,PF00069
207,Q9H8M2,PF00439
208,P55210,PF00656
209,A0A5G2QD80,PF04912
210,O15118,PF22314
211,P13254,PF01053
212,P21728,PF00001
213,Q6XHB2,PF16095
214,P08168,PF02752
215,P29597,PF18379
216,P49190,PF00002
217,O14936,PF00625
218,P00374,PF00186
219,Q8WSF8,PF02931
220,P12823,PF20907
221,Q12866,PF00041
222,P14740,PF00930
223,Q9Y230,PF06068
224,P14324,PF00348
225,P02554,PF00091
226,P63284,PF00004
227,Q9SBR3,PF00348
228,P04191,PF13246
229,P80561,PF01483
230,Q9XSM3,PF00023
231,P15873,PF02747
232,P02879,PF00652
233,Q6ITZ3,PF00652
234,P38251,PF13177
235,Q7YS85,PF00704
236,Q61091,PF01534
237,P10635,PF00067
238,O75469,PF00104
239,Q9H4A3,PF12202
240,Q92769,PF00850
241,D9J2T9,PF00161
242,P04637,PF00870
243,Q12715,PF14310
244,Q06187,PF00779
245,Q9UGN5,PF00644
246,Q96EB6,PF02146
247,A2RI36,PF03551
248,Q0B4G1,PF07938
249,Q70I53,PF00850
250,O92972,PF07652
251,Q9PTT3,PF00576
252,P41440,PF01770
253,P49137,PF00069
254,P27338,PF01593
255,P27986,PF16454
256,P19491,PF01094
257,P41743,PF00130
258,Q40577,PF01397
259,P36888,PF00047
260,A9Y8T1,PF00534
261,P29373,PF00061
262,A5K0N4,PF00027
263,A0A7U5Y2I6,PF02803
264,A0A0K1H6P9,PF00516
265,Q16790,PF00194
266,P00183,PF00067
267,Q08499,PF18100
268,Q16832,PF21114
269,O93430,PF02931
270,P17612,PF00069
271,Q9Y3Q0,PF02225
272,Q07912,PF09027
273,A8EVM5,PF00520
274,A0A1W0D7S2,PF13354
275,P34914,PF00561
276,A0A7M3UF22,PF09150
277,L8GJB3,PF00067
278,P31749,PF00169
279,P80276,PF00248
280,Q9A0M7,PF07212
281,Q9NP58,PF00664
282,Q460N3,PF01661
283,P25440,PF17035
284,P36544,PF02931
285,Q2SWE7,PF00334
286,Q9QX29,PF00023
287,Q86D28,PF01053
288,P13513,PF06330
289,Q9Y233,PF01590
290,P68400,PF00069
291,P84751,PF07654
292,P06802,PF01223
293,P22303,PF08674
294,P84750,PF07686
295,P20160,PF00089
296,P01591,PF15097
297,A0A0B0QJN8,PF18765
298,Q92458,PF14310
299,P15145,PF11838
300,Q12852,PF07714
301,P19652,PF00061
302,Q3YPZ4,PF00599
303,P02452,PF01410
304,A0A1Q9NLL0,PF00025
305,P07097,PF02803
306,A0A3A4VWA2,PF01382
307,A0A3Q1MYU9,PF15120
308,A0A8J7ZFD1,PF00025
309,Q9HCN6,PF13895
310,P0C6U6,PF09401
311,G3XD28,PF11104
312,P21453,PF00001
313,P20248,PF02984
314,Q05586,PF01094
315,P13806,PF08473
316,Q8IZY2,PF12698
317,Q86TI2,PF19520
318,O43402,PF03665
319,P08238,PF13589
320,Q12888,PF09038
321,P02766,PF00576
322,M9PC40,PF07679
323,Q9UNU6,PF00067
324,P0C6U8,PF16251
325,Q05397,PF21477
326,O15245,PF00083
327,Q13464,PF00069
328,O75907,PF03062
329,P00735,PF00594
330,P0A6G7,PF00574
331,P51449,PF00104
332,Q96P20,PF14484
333,Q16281,PF16526
334,A1YIY3,PF18815
335,O60341,PF01593
336,P11881,PF08709
337,K9N5Q8,PF16451
338,O15230,PF00052
339,P18357,PF05569
340,D3Y1J3,PF00067
341,A0A7D7FA76,PF16959
342,P10826,PF00104
343,P04629,PF13855
344,P0C6X7,PF13087
345,I3LG77,PF01966
346,P62694,PF00734
347,P35408,PF00001
348,F2Z508,PF00836
349,A0A0M3KL20,PF00194
350,O76290,PF13561
351,P32298,PF00069
352,Q6WG01,PF00509
353,P31391,PF00001
354,O60939,PF07686
355,Q07343,PF18100
356,Q13546,PF00531
357,P39986,PF23143
358,A5K8L9,PF00464
359,Q07699,PF07686
360,P52917,PF00004
361,P01834,PF07654
362,P0ABI8,PF00115
363,T2G9X8,PF13085
364,P28523,PF00069
365,Q9D1A2,PF07687
366,Q9HWY4,PF00348
367,Q08345,PF21114
368,P10828,PF00104
369,A0A286ZK88,PF21711
370,P0AEY8,PF07690
371,P52732,PF00225
372,P00517,PF00069
373,Q93D82,PF13561
374,Q2YQ73,PF00664
375,B7J5E4,PF07728
376,A0A067XG68,PF00502
377,O00482,PF00104
378,A0A0M3VGF9,PF00006
379,R4NFR6,PF00064
380,O43614,PF00001
381,Q96RI1,PF00104
382,P19429,PF00992
383,P05091,PF00171
384,P30838,PF00171
385,P49841,PF00069
386,G4XFJ5,PF00516
387,O64411,PF01593
388,Q9XEI3,PF00933
389,O35904,PF00454
390,P25311,PF07654
391,A0A0B4J1J9,PF07686
392,F1LW30,PF00531
393,P46467,PF00004
394,Q16552,PF06083
395,P20231,PF00089
396,T2B9U0,PF13087
397,D3ZK93,PF07803
398,Q09472,PF00439
399,P02701,PF01382
400,P49286,PF00001
401,P08235,PF00104
402,Q54436,PF11401
403,P62331,PF00025
404,P35747,PF00273
405,P33517,PF00115
406,P05093,PF00067
407,Q99MB1,PF00560
408,P13100,PF00303
409,P29474,PF00667
410,P50616,PF07742
411,P0CF65,PF02190
412,P00747,PF00051
413,O76039,PF00069
414,P9WPX7,PF01220
415,A0A8V0Z8P0,PF03133
416,O43809,PF13869
417,P02916,PF00528
418,Q9NR97,PF13855
419,P22455,PF07679
420,P00338,PF02866
421,I0DF35,PF04196
422,P09874,PF00533
423,P49759,PF00069
424,P11731,PF00186
425,P35439,PF01094
426,O67854,PF00209
427,P51161,PF14651
428,P02751,PF00039
429,P19793,PF00104
430,P0A6P1,PF00889
431,Q92793,PF00439
432,B5II98,PF00543
433,E9Q401,PF13499
434,A0A0D1DQH0,PF00225
435,P10987,PF00022
436,Q9Y2J2,PF05902
437,A0A0M3KKW9,PF00516
438,P15056,PF00130
439,P01730,PF05790
440,P06750,PF00652
441,Q8N6T7,PF02146
442,Q9F663,PF13354
443,P34913,PF00561
444,P02693,PF00061
445,P12104,PF00061
446,P59594,PF16451
447,P00268,PF00301
448,P08515,PF14497
449,O94768,PF00069
450,Q92630,PF00069
451,Q82P90,PF05270
452,P30122,PF00135
453,O14757,PF00069
454,Q9UQV4,PF01299
455,P18031,PF00102
456,P06731,PF13895
457,A0A0B5A8Q2,PF00049
458,Q71RI9,PF00155
459,Q9UJA9,PF01663
460,Q9YBQ2,PF22173
461,P13796,PF00307
462,O96013,PF00786
463,Q9EQG7,PF01663
464,P0A884,PF00303
465,Q8I6V3,PF00026
466,B2TEQ2,PF00753
467,Q9ULI0,PF00004
468,Q02054,PF00550
469,P0A0K8,PF00204
470,L0CTV4,PF08762
471,P68135,PF00022
472,Q9CHL8,PF00664
473,G0S024,PF04097
474,A0A0Q3EUQ3,PF00171
475,Q13822,PF01223
476,Q9UXC0,PF01138
477,O67135,PF00850
478,D0KZ75,PF07728
479,O74036,PF14520
480,P11797,PF00704
481,P01584,PF00340
482,G1XA82,PF07938
483,A2A259,PF18109
484,P37702,PF00232
485,P02710,PF02931
486,O14733,PF00069
487,P16678,PF00005
488,Q93ZN9,PF00155
489,Q12931,PF13589
490,P00879,PF00016
491,P11509,PF00067
492,P51659,PF00106
493,P32794,PF00004
494,T2G9Q2,PF02085
495,P03303,PF08727
496,P11838,PF00026
497,A7MB62,PF00022
498,Q9UHD2,PF00069
499,P61823,PF00074
500,P43405,PF07714
501,Q808Y3,PF00740
502,P04141,PF01109
503,Q8NEB9,PF00454
504,Q9CZW6,PF02825
505,P00880,PF00016
506,Q8NI77,PF00225
507,D3KZG3,PF07810
508,P32884,PF00423
509,A0A8E6CMP0,PF01600
510,D1MN74,PF02752
511,O94804,PF00069
512,P01112,PF00071
513,P0AEX9,PF01547
514,D5F6K1,PF00599
515,P63000,PF00071
516,Q9H2G2,PF00069
517,H2L2M6,PF00139
518,P05107,PF23105
519,Q9KDT3,PF00209
520,Q9H078,PF07724
521,P42574,PF00656
522,P81947,PF00091
523,O75460,PF00069
524,A0L5S6,PF00520
525,Q8L435,PF01036
526,D0VWQ1,PF01014
527,P15926,PF13585
528,Q381A3,PF08477
529,Q15596,PF23172
530,P02550,PF00091
531,P01921,PF07654
532,P18485,PF00155
533,Q9F4L3,PF02775
534,P01910,PF07654
535,Q00511,PF01014
536,Q97W02,PF00817
537,P10144,PF00089
538,O76074,PF01590
539,Q56218,PF01058
540,P48632,PF07715
541,Q6V1X1,PF19520
542,Q27552,PF00186
543,Q07820,PF00452
544,P28720,PF01702
545,Q9UIF9,PF00439
546,P00191,PF00067
547,O75807,PF10488
548,A3EX94,PF16451
549,Q6P179,PF11838
550,A0A0A7HFE1,PF22335
551,P00125,PF02167
552,P06126,PF07654
553,P48552,PF15687
554,P51812,PF00069
555,Q00534,PF00069
556,P09486,PF09289
557,C1K9J9,PF00798
558,Q5S007,PF23745
559,G7NN72,PF00047
560,Q08881,PF00779
561,O23254,PF00464
562,P55011,PF00324
563,P03200,PF05109
564,P08246,PF00089
565,Q9R1E6,PF01223
566,A9PKC6,PF00607
567,P03472,PF00064
568,P00491,PF01048
569,P06820,PF00064
570,P07399,PF00798
571,P08362,PF00423
572,P0ABQ4,PF00186
573,Q9UBT6,PF00817
574,A0A452E9Y6,PF03098
575,Q8IYT8,PF12063
576,Q9BY41,PF00850
577,P08617,PF20758
578,Q91MA7,PF00509
579,A3LT82,PF00724
580,Q6XEC0,PF00905
581,P42196,PF01036
582,P21836,PF08674
583,P15692,PF00341
584,P58154,PF02931
585,Q9Z869,PF00497
586,P10276,PF00104
587,A4F255,PF07654
588,Q9X6J6,PF02081
589,H2J4R1,PF22548
590,P62508,PF00104
591,A0A0E3EAY4,PF00516
592,Q15759,PF00069
593,P00497,PF13522
594,Q54AI1,PF01126
595,A0A0E3EAD6,PF00516
596,P81156,PF05199
597,Q4AE59,PF08329
598,P19493,PF01094
599,P00736,PF00431
600,P06717,PF01375
601,P04412,PF00757
602,P12956,PF02735
603,E8ME30,PF02866
604,P72525,PF03989
605,A0A0H2ZMB9,PF00004
606,P32890,PF01376
607,P16404,PF00139
608,P18891,PF07938
609,D3U1A5,PF14497
610,P0ABH9,PF00004
611,Q6ISU1,PF15028
612,P9WHL1,PF01180
613,P00830,PF00006
614,Q2G637,PF00067
615,Q9U3P2,PF08205
616,A0A5P8YI66,PF00496
617,P06239,PF07714
618,Q9KPM0,PF01048
619,Q24368,PF09110
620,O97193,PF00316
621,P07278,PF00027
622,Q9W4T9,PF08205
623,A0NFU8,PF01401
624,Q8GSD2,PF00139
625,Q80A30,PF00509
626,P11473,PF00104
627,Q8QPL1,PF00509
628,O43353,PF00619
629,P35398,PF00104
630,P43220,PF00002
631,O70570,PF07686
632,A0A0B4J1L0,PF07679
633,O43318,PF07714
634,P01592,PF15097
635,A0R1Z9,PF02823
636,W7K270,PF05424
637,A0R203,PF00430
638,P01308,PF00049
639,Q00944,PF21477
640,P0A334,PF07885
641,G8JZS4,PF14509
642,P52699,PF00753
643,Q68CP4,PF07786
644,O04841,PF00293
645,P81446,PF00652
646,Q7XJ80,PF13589
647,P98170,PF00653
648,P23895,PF00893
649,H9DP89,PF00516
650,Q0ED31,PF00516
651,P11511,PF00067
652,Q96LW4,PF01896
653,O58843,PF01472
654,P07688,PF00112
655,Q15788,PF23172
656,P35120,PF00497
657,Q18DH8,PF01036
658,Q70AS3,PF00067
659,P10721,PF00047
660,P9WKE5,PF00224
661,P24268,PF07966
662,O14241,PF04045
663,P62937,PF00160
664,Q8I6T1,PF07422
665,B3EWJ2,PF00139
666,Q16611,PF00452
667,Q9UGM1,PF02931
668,K4FW35,PF00464
669,P25779,PF12131
670,P29477,PF00667
671,Q5TCY1,PF00069
672,P22972,PF00139
673,Q80TR1,PF00002
674,Q92887,PF00664
675,Q99418,PF00169
676,D0C9L6,PF01195
677,P07267,PF00026
678,Q69Z26,PF00041
679,P0AEK4,PF13561
680,P55211,PF00619
681,P04626,PF00757
682,C6GHB7,PF01600
683,P57665,PF00929
684,P23528,PF00241
685,P06710,PF13177
686,Q86Z14,PF00232
687,Q2G1B8,PF04464
688,O43175,PF00389
689,A0A0D5YCX7,PF07963
690,P48546,PF00002
691,P15941,PF01390
692,P23258,PF00091
693,P39058,PF00561
694,P0AFL3,PF00160
695,O00141,PF00069
696,P29275,PF00001
697,A0A493R6X0,PF01382
698,O15393,PF15494
699,E4TN31,PF06736
700,P54609,PF00004
701,P0A9R7,PF00005
702,Q13477,PF09085
703,Q6PL18,PF00004
704,Q9NXA8,PF02146
705,Q9QYJ6,PF01590
706,Q07889,PF00617
707,P43235,PF08246
708,P09889,PF00149
709,P06106,PF01053
710,P23234,PF02775
711,P0ABP8,PF01048
712,P61964,PF00400
713,Q28021,PF00069
714,D0VWY9,PF00091
715,P45983,PF00069
716,P62942,PF00254
717,P04818,PF00303
718,P00772,PF00089
719,P22906,PF00186
720,Q59034,PF04013
721,P03369,PF00540
722,P09872,PF00089
723,Q9UP95,PF00324
724,Q9A749,PF10150
725,P00509,PF00155
726,Q9UHW9,PF00324
727,P10324,PF00691
728,P07858,PF00112
729,A4PB64,PF13561
730,Q45595,PF13353
731,P02789,PF00405
732,O66659,PF00308
733,P41148,PF13589
734,D2V4Z5,PF22156
735,Q4CPZ0,PF00262
736,A0A5H2UYS3,PF07654
737,P80035,PF00561
738,P49768,PF01080
739,P9WKD3,PF13354
740,J9VFT1,PF16177
741,A0A410UCT3,PF01048
742,P42838,PF03381
743,P00044,PF00034
744,O60200,PF05254
745,Q96UT7,PF00394
746,Q07422,PF00186
747,P61224,PF00071
748,P32660,PF13246
749,P28702,PF00104
750,P43772,PF00227
751,O94855,PF00626
752,Q15436,PF00626
753,P51148,PF00071
754,P08311,PF00089
755,P10760,PF05221
756,Q716H3,PF04466
757,P33767,PF23358
758,O13024,PF03941
759,Q9XH32,PF00885
760,Q9S7B5,PF00291
761,Q9NWZ3,PF07714
762,Q9Y463,PF00069
763,P03311,PF05408
764,P12758,PF01048
765,A0A7E5VSK5,PF13589
766,P17597,PF02775
767,Q16531,PF10433
768,P61769,PF07654
769,P22362,PF00048
770,P08172,PF00001
771,P13569,PF00664
772,O43570,PF00194
773,Q5NHD0,PF00462
774,O60259,PF00089
775,Q92035,PF08674
776,Q9FZA0,PF05498
777,Q9P2K8,PF12745
778,K7NTP5,PF00012
779,P31947,PF00244
780,Q9BXR0,PF01702
781,A0A140EMT3,PF00516
782,A0A2H4A2Q2,PF00394
783,P0DP29,PF13499
784,Q7K4Y6,PF00209
785,P9WN39,PF00120
786,A0A2H1VFV3,PF00085
787,Q2GB12,PF00067
788,P25098,PF00169
789,P05024,PF13246
790,O43323,PF01085
791,Q54816,PF08541
792,Q2G036,PF00574
793,P14489,PF00905
794,P12506,PF00539
795,Q6DQ34,PF00509
796,P9WGR1,PF13561
797,O55060,PF05724
798,O06967,PF00664
799,A0A072U2X9,PF01502
800,P04224,PF07654
801,Q04771,PF01064
802,P9WHT9,PF00227
803,P29375,PF01388
804,Q207Z6,PF00509
805,O15178,PF00907
806,P09382,PF00337
807,P10147,PF00048
808,P80098,PF00048
809,Q13946,PF00233
810,P21447,PF00664
811,Q8BHY3,PF16178
812,Q9UZK7,PF00009
813,P00720,PF00959
814,O95819,PF00780
815,P51124,PF00089
816,O87605,PF00067
817,Q07817,PF00452
818,Q8L7C9,PF13410
819,P23827,PF03974
820,P08709,PF00008
821,D0VWU7,PF01926
822,P0A9J8,PF01817
823,O67056,PF01695
824,P0AG16,PF13522
825,A0A8M0FGR8,PF13489
826,P00490,PF00343
827,Q92905,PF18323
828,Q9NQ11,PF00122
829,P51955,PF00069
830,B7NY59,PF00509
831,G0S3N2,PF12708
832,Q8NBZ7,PF16363
833,Q564N5,PF00232
834,P04295,PF02499
835,E9AD06,PF00550
836,P34896,PF00464
837,P46939,PF00307
838,Q0E9H9,PF12355
839,P29473,PF00667
840,Q8A5S1,PF22042
841,P09991,PF00798
842,P04585,PF00540
843,Q1QZR8,PF00120
844,P23589,PF00194
845,Q3ZC07,PF00022
846,Q12830,PF00439
847,A4Q9E8,PF03133
848,Q8IVV7,PF09783
849,O19712,PF07654
850,P58906,PF00139
851,Q9NRA2,PF07690
852,F1QCV2,PF00850
853,Q02410,PF00595
854,O19705,PF07654
855,D0VX26,PF02167
856,O43739,PF00169
857,O43291,PF00014
858,A0A3E2YLT4,PF00067
859,P68871,PF00042
860,P02557,PF00091
861,P0A7E5,PF06418
862,G1EUI6,PF00139
863,Q78156,PF00517
864,A3FQ16,PF13499
865,G0S8G9,PF00009
866,P01865,PF07654
867,P39730,PF00009
868,Q9H2X6,PF00069
869,Q746M7,PF22474
870,P24276,PF17877
871,Q86Y07,PF00069
872,P19573,PF00116
873,P15647,PF01036
874,P80428,PF00022
875,P07339,PF07966
876,P21242,PF00227
877,D6VTK4,PF02116
878,Q9HVC3,PF01195
879,Q9UVX3,PF01233
880,P62805,PF15511
881,P78417,PF14497
882,Q2YQZ4,PF00004
883,Q9Q0U6,PF00509
884,P05164,PF03098
885,Q9NRF8,PF06418
886,P17812,PF06418
887,Q6J8F6,PF00509
888,P19999,PF01391
889,Q04656,PF00122
890,P0A6K3,PF01327
891,Q202J8,PF00516
892,P00825,PF00006
893,Q47066,PF13354
894,O75376,PF15784
895,O43663,PF03999
896,Q9UI30,PF03966
897,Q8WS26,PF00348
898,Q08432,PF00155
899,P19091,PF02166
900,P11542,PF00141
901,Q9LFP6,PF03547
902,Q70KY3,PF00394
903,M1AKE5,PF00197
904,P0A3R9,PF00960
905,Q9VWX8,PF00036
906,P07148,PF14651
907,Q01469,PF00061
908,P15090,PF00061
909,P16473,PF00001
910,A0A0H2UPA7,PF02229
911,C3W6G3,PF00064
912,P04530,PF03796
913,A0A2R8Y7R8,PF09468
914,I6NF57,PF00516
915,A3F718,PF07654
916,P0DP23,PF13499
917,P04275,PF08742
918,P0AEE3,PF13180
919,P07550,PF00001
920,H6QM95,PF00064
921,P43115,PF00001
922,P0AA25,PF00085
923,H6QM85,PF00064
924,P35991,PF00779
925,P41594,PF00003
926,Q2MFI7,PF04055
927,P14061,PF00106
928,Q9RA63,PF00004
929,Q9BVS4,PF01163
930,P45844,PF01061
931,Q8WQX9,PF01590
932,Q6TMG6,PF00704
933,Q845W8,PF00155
934,Q14204,PF12774
935,P19099,PF00067
936,Q6PHR2,PF04212
937,P56981,PF00271
938,B0B9A0,PF02902
939,Q5Y388,PF01589
940,P04896,PF00503
941,Q9WAF5,PF00423
942,P0C0V0,PF00595
943,P16615,PF13246
944,P21675,PF00439
945,Q15116,PF07686
946,Q603T8,PF13459
947,Q9XZT6,PF01712
948,P78324,PF07654
949,P51965,PF00179
950,P08244,PF00215
951,P08908,PF00001
952,Q9UGL1,PF01388
953,P49760,PF00069
954,A7Y8I1,PF00509
955,C6ZIG9,PF00516
956,A0A097PHH8,PF00509
957,P01019,PF00079
958,Q02760,PF02167
959,P01848,PF09291
960,P15144,PF11838
961,Q75760,PF00516
962,C0LT35,PF00509
963,P00363,PF00890
964,P63316,PF13499
965,P55055,PF00104
966,Q1AUE6,PF01036
967,Q9R9J1,PF00202
968,Q05320,PF22307
969,B8XCN0,PF22307
970,P51685,PF00001
971,C0H5N9,PF02009
972,P34981,PF00001
973,P01215,PF00236
974,P54802,PF05089
975,P09488,PF00043
976,P00746,PF00089
977,Q64487,PF00041
978,Q2WF71,PF00041
979,P00751,PF00084
980,A0A888VSF1,PF13561
981,Q80TS3,PF00002
982,P07900,PF13589
983,Q69994,PF00516
984,O42851,PF01053
985,Q58EU8,PF07654
986,P01863,PF07654
987,P01868,PF07654
988,Q9X1C3,PF00005
989,P22723,PF02931
990,P97675,PF01663
991,A0A445BYI5,PF00234
992,O34697,PF00005
993,P08254,PF00045
994,P0A6H5,PF00004
995,P43773,PF00004
996,A0A5P8ETS7,PF00064
997,P53634,PF08773
998,Q389T8,PF07992
999,P0A1F6,PF01048
1000,O75884,PF06821
1001,P00523,PF07714
1002,Q9HC84,PF08742
1003,O60241,PF00002
1004,O43278,PF22352
1005,Q9Y052,PF00303
1006,P54619,PF00571
1007,O35433,PF00023
1008,Q5KF69,PF00069
1009,A0A126NGE0,PF13354
1010,Q27686,PF00224
1011,U5Q2N8,PF12680
1012,P0A3C9,PF00111
1013,K4L9I6,PF13087
1014,Q9Y6F1,PF00644
1015,Q8DJ01,PF00329
1016,Q5HLM5,PF00535
1017,Q4E2I1,PF02940
1018,Q58F21,PF17035
1019,Q9BPX1,PF13561
1020,A0A7I8AV45,PF16862
1021,U3KMH2,PF00439
1022,P04228,PF07654
1023,P11021,PF00012
1024,Q30069,PF07654
1025,Q2N0S5,PF00516
1026,Q70SQ1,PF08329
1027,Q13153,PF00786
1028,P10613,PF00067
1029,Q9JJ59,PF00664
1030,P61587,PF00071
1031,P28827,PF00041
1032,Q16288,PF07679
1033,C6H0Y9,PF00603
1034,P02461,PF01410
1035,P0AA43,PF00849
1036,P11076,PF00025
1037,P19456,PF00690
1038,Q7Z1V1,PF00067
1039,A0A0B4J274,PF07686
1040,Q13255,PF00003
1041,Q0A480,PF00064
1042,W8VZW3,PF01036
1043,Q6ZXT3,PF00230
1044,P00396,PF00115
1045,A3MSP1,PF14489
1046,Q9UM73,PF12810
1047,A0A0H2ZD27,PF12697
1048,Q6TFC5,PF05523
1049,P03366,PF00540
1050,A0A5B9,PF07654
1051,G2PZJ2,PF05199
1052,P0A0B1,PF05569
1053,P16099,PF13450
1054,A0A0A0RDR2,PF01397
1055,Q9Y5Y6,PF00431
1056,Q07599,PF00064
1057,C3W5S0,PF00603
1058,P54289,PF08473
1059,Q1PUD9,PF00509
1060,S6BVH1,PF00067
1061,A0A0S4TER9,PF00186
1062,Q9Y5Y9,PF00520
1063,O88602,PF00822
1064,A0A0J9X245,PF00509
1065,P00798,PF00026
1066,B2VNP1,PF00509
1067,R9U684,PF00509
1068,P04839,PF08022
1069,Q03611,PF16526
1070,Q06830,PF10417
1071,P22947,PF21947
1072,D3Z7H4,PF07803
1073,Q9QF35,PF07652
1074,U3N7S5,PF00509
1075,A0A2P1E3C0,PF00509
1076,F2WR52,PF00552
1077,Q8TDQ0,PF07686
1078,P54764,PF14575
1079,A3DQM7,PF00509
1080,Q09028,PF12265
1081,P32356,PF01204
1082,C3W5S1,PF00509
1083,Q8BLQ9,PF08205
1084,N6UXY4,PF00202
1085,D6WJ77,PF04140
1086,P48039,PF00001
1087,O75164,PF02373
1088,P09527,PF00071
1089,O75027,PF00664
1090,A7IIH0,PF02826
1091,P29563,PF01036
1092,P9WPC3,PF00574
1093,Q5G5U5,PF00516
1094,P0CE48,PF00009
1095,Q99808,PF01733
1096,Q986N2,PF00885
1097,P11875,PF03485
